Spieler,,Verein,Pos.,Mio.,PI,DN,PI V.,DN V.,
,Luthe,Augsburg,TOR,"2,0",,,8,"3,0",merken

,Bakalorz,Hannover,MIT,"2,0",,,56,"3,5",merken

,Valentini,Nürnberg,ABW,"2,0",,,,,merken

,Gondorf,Freiburg,MIT,"2,0",,,20,"3,9",merken

,Gebre Selassie,Bremen,ABW,"2,0",,,47,"3,8",merken

,da Costa,Frankfurt,ABW,"2,0",,,46,"3,3",merken

,Guilavogui,Wolfsburg,MIT,"2,0",,,57,"3,6",merken

,Khedira,Augsburg,MIT,"2,0",,,70,"3,4",merken

,Rupp,Hoffenheim,MIT,"2,0",,,57,"3,4",merken

,Bruma,Wolfsburg,ABW,"2,0",,,2,"4,0",merken

,Koo,Augsburg,MIT,"2,0",,,43,"3,7",merken

,Ayhan,Düsseldorf,ABW,"2,0",,,,,merken

,Skrzybski,Schalke,MIT,"2,0",,,,,merken

,Kempf,Stuttgart,ABW,"2,0",,,12,"3,8",merken

,Stöger,Düsseldorf,MIT,"2,0",,,,,merken

,Baumgartl,Stuttgart,ABW,"2,0",,,58,"3,6",merken

,Drmic,Gladbach,STU,"2,0",,,32,"3,4",merken

,Juan Bernat,Bayern,ABW,"2,0",,,18,"3,6",merken

,Ewerton,Nürnberg,ABW,"2,0",,,,,merken

,Willems,Frankfurt,ABW,"2,0",,,38,"3,6",merken

,Henrichs,Leverkusen,ABW,"2,0",,,21,"3,6",merken

,Kohr,Leverkusen,MIT,"2,0",,,36,"3,6",merken

,Baba,Schalke,ABW,"2,0",,,3,"3,0",merken

,Raman,Düsseldorf,MIT,"2,0",,,,,merken

,Thommy,Stuttgart,MIT,"2,0",,,48,"3,6",merken

,Maier,Hertha,MIT,"2,0",,,16,"3,8",merken

,Veljkovic,Bremen,ABW,"2,0",,,51,"3,6",merken

,Grujic,Hertha,MIT,"2,0",,,,,merken

,Kiese Thelin,Leverkusen,STU,"2,0",,,,,merken

,Paciencia,Frankfurt,STU,"2,0",,,,,merken

,Aaron,Mainz,ABW,"2,0",,,,,merken

,Brekalo,Wolfsburg,MIT,"2,0",,,49,"3,7",merken

,Adams,Hoffenheim,ABW,"2,0",,,,,merken

,McKennie,Schalke,MIT,"2,0",,,37,"3,5",merken

,Mateta,Mainz,STU,"2,0",,,,,merken

,Mukiele,Leipzig,ABW,"2,0",,,,,merken

,Konaté,Leipzig,ABW,"2,0",,,16,"3,7",merken

,Matheus Cunha,Leipzig,STU,"2,0",,,,,merken

,Niakhaté,Mainz,ABW,"2,0",,,,,merken

,Rensing,Düsseldorf,TOR,"1,8",,,,,merken

,Beck,Stuttgart,ABW,"1,8",,,26,"3,8",merken

,Blaszczykowski,Wolfsburg,MIT,"1,8",,,9,"3,9",merken

,Langkamp,Bremen,ABW,"1,8",,,31,"3,6",merken

,Brosinski,Mainz,ABW,"1,8",,,30,"3,8",merken

,Frantz,Freiburg,MIT,"1,8",,,32,"3,4",merken

,Szalai,Hoffenheim,STU,"1,8",,,45,"3,5",merken

,Gulde,Freiburg,ABW,"1,8",,,37,"3,5",merken

,Jantschke,Gladbach,ABW,"1,8",,,10,"3,8",merken

,Korb,Hannover,ABW,"1,8",,,51,"3,6",merken

,Hitz,Dortmund,TOR,"1,8",,,161,"3,0",merken

,Camacho,Wolfsburg,MIT,"1,8",,,18,"3,6",merken

,Wolf,Düsseldorf,TOR,"1,8",,,,,merken

,Rode,Dortmund,MIT,"1,8",,,0,,merken

,Bicakcic,Hoffenheim,ABW,"1,8",,,19,"3,4",merken

,Esser,Hannover,TOR,"1,8",,,8,"3,3",merken

,Geis,Schalke,MIT,"1,8",,,0,,merken

,Mehmedi,Wolfsburg,STU,"1,8",,,20,"3,9",merken

,Knoche,Wolfsburg,ABW,"1,8",,,17,"3,9",merken

,Öztunali,Mainz,MIT,"1,8",,,-24,"4,3",merken

,Toljan,Dortmund,ABW,"1,8",,,16,"3,9",merken

,Leckie,Hertha,MIT,"1,8",,,37,"3,8",merken

,Mathenia,Nürnberg,TOR,"1,8",,,90,"3,3",merken

,Waldschmidt,Freiburg,STU,"1,8",,,9,"4,0",merken

,Möhwald,Bremen,MIT,"1,8",,,,,merken

,Kerk,Nürnberg,MIT,"1,8",,,,,merken

,Hack,Mainz,ABW,"1,8",,,31,"3,6",merken

,Brenet,Hoffenheim,MIT,"1,8",,,,,merken

,Mwene,Mainz,ABW,"1,8",,,,,merken

,Sobottka,Düsseldorf,MIT,"1,8",,,,,merken

,Köpke,Hertha,STU,"1,8",,,,,merken

,Stenzel,Freiburg,ABW,"1,8",,,32,"3,8",merken

,Müller,Mainz,TOR,"1,8",,,27,"2,9",merken

,Neuhaus,Gladbach,MIT,"1,8",,,,,merken

,Bredlow,Nürnberg,TOR,"1,8",,,,,merken

,Holtmann,Mainz,MIT,"1,8",,,36,"3,6",merken

,Kubo,Nürnberg,STU,"1,8",,,,,merken

,Danso,Augsburg,ABW,"1,8",,,33,"3,6",merken

,Roussillon,Wolfsburg,ABW,"1,8",,,,,merken

,Rashica,Bremen,STU,"1,8",,,20,"3,5",merken

,Walace,Hannover,MIT,"1,8",,,-3,"4,2",merken

,Harit,Schalke,MIT,"1,8",,,109,"3,2",merken

,William,Wolfsburg,ABW,"1,8",,,-12,"4,2",merken

,Falette,Frankfurt,ABW,"1,8",,,15,"3,9",merken

,Mendyl,Schalke,ABW,"1,8",,,,,merken

,Kunde,Mainz,MIT,"1,8",,,,,merken

,Verhaegh,Wolfsburg,ABW,"1,7",,,37,"3,8",merken

,Lustenberger,Hertha,MIT,"1,7",,,43,"3,5",merken

,Teuchert,Schalke,STU,"1,7",,,4,,merken

,Gerhardt,Wolfsburg,MIT,"1,7",,,1,"4,1",merken

,Zimmer,Düsseldorf,ABW,"1,7",,,0,,merken

,Torunarigha,Hertha,ABW,"1,7",,,29,"3,3",merken

